Date,Amount,Amount_sum,Month,Day,Year,is_month_start,AccountBalance
2018-08-01,3000,3000,8,1,2018,TRUE,3000
2018-08-02,0,6000,8,2,2018,FALSE,3000
2018-08-03,-1400,1600,8,3,2018,FALSE,1600
2018-08-04,-173.75,4356.2,8,4,2018,FALSE,1426.25
2018-08-05,-10.79,1415.46,8,5,2018,FALSE,1415.46
2018-08-06,0,2830.92,8,6,2018,FALSE,1415.46
2018-08-07,0,2830.92,8,7,2018,FALSE,1415.46
2018-08-08,0,2830.92,8,8,2018,FALSE,1415.46
2018-08-09,0,2830.92,8,9,2018,FALSE,1415.46
2018-08-10,-30.78,1384.68,8,10,2018,FALSE,1384.68
2018-08-11,-34.76,1349.92,8,11,2018,FALSE,1349.92
2018-08-12,-12.54,1337.38,8,12,2018,FALSE,1337.38
2018-08-13,0,2674.76,8,13,2018,FALSE,1337.38
2018-08-14,0,2674.76,8,14,2018,FALSE,1337.38
2018-08-15,-9.98,1327.4,8,15,2018,FALSE,1327.4
2018-08-16,0,2654.8,8,16,2018,FALSE,1327.4
2018-08-17,0,2654.8,8,17,2018,FALSE,1327.4
2018-08-18,0,2654.8,8,18,2018,FALSE,1327.4
2018-08-19,0,2654.8,8,19,2018,FALSE,1327.4
2018-08-20,0,2654.8,8,20,2018,FALSE,1327.4
2018-08-21,0,2654.8,8,21,2018,FALSE,1327.4
2018-08-22,0,2654.8,8,22,2018,FALSE,1327.4
2018-08-23,0,2654.8,8,23,2018,FALSE,1327.4
2018-08-24,-70,1257.4,8,24,2018,FALSE,1257.4
2018-08-25,0,2514.8,8,25,2018,FALSE,1257.4
2018-08-26,0,2514.8,8,26,2018,FALSE,1257.4
2018-08-27,0,2514.8,8,27,2018,FALSE,1257.4
2018-08-28,0,2514.8,8,28,2018,FALSE,1257.4
2018-08-29,-75.06,1182.34,8,29,2018,FALSE,1182.34
2018-08-30,0,2364.68,8,30,2018,FALSE,1182.34
2018-08-31,-107,1075.34,8,31,2018,FALSE,1075.34
2018-09-01,3000,4075.34,9,1,2018,TRUE,4075.34
2018-09-02,0,8150.68,9,2,2018,FALSE,4075.34
2018-09-03,-1400,2675.34,9,3,2018,FALSE,2675.34
2018-09-04,0,5350.68,9,4,2018,FALSE,2675.34
2018-09-05,0,5350.68,9,5,2018,FALSE,2675.34
2018-09-06,0,5350.68,9,6,2018,FALSE,2675.34
2018-09-07,0,5350.68,9,7,2018,FALSE,2675.34
2018-09-08,0,5350.68,9,8,2018,FALSE,2675.34
2018-09-09,0,5350.68,9,9,2018,FALSE,2675.34
2018-09-10,-172.52,5055.64,9,10,2018,FALSE,2502.82
2018-09-11,0,5005.64,9,11,2018,FALSE,2502.82
2018-09-12,0,5005.64,9,12,2018,FALSE,2502.82
2018-09-13,0,5005.64,9,13,2018,FALSE,2502.82
2018-09-14,0,5005.64,9,14,2018,FALSE,2502.82
2018-09-15,0,5005.64,9,15,2018,FALSE,2502.82
2018-09-16,0,5005.64,9,16,2018,FALSE,2502.82
2018-09-17,0,5005.64,9,17,2018,FALSE,2502.82
2018-09-18,0,5005.64,9,18,2018,FALSE,2502.82
2018-09-19,-21.6,2481.22,9,19,2018,FALSE,2481.22
2018-09-20,0,4962.44,9,20,2018,FALSE,2481.22
2018-09-21,0,4962.44,9,21,2018,FALSE,2481.22
2018-09-22,-16.19,2465.03,9,22,2018,FALSE,2465.03
2018-09-23,0,4930.06,9,23,2018,FALSE,2465.03
2018-09-24,-46.5,2418.53,9,24,2018,FALSE,2418.53
2018-09-25,0,4837.06,9,25,2018,FALSE,2418.53
2018-09-26,0,4837.06,9,26,2018,FALSE,2418.53
2018-09-27,0,4837.06,9,27,2018,FALSE,2418.53
2018-09-28,-84.77,2333.76,9,28,2018,FALSE,2333.76
2018-09-29,0,4667.52,9,29,2018,FALSE,2333.76
2018-09-30,0,4667.52,9,30,2018,FALSE,2333.76
2018-10-01,2983.18,15975.36,10,1,2018,TRUE,5316.94
2018-10-02,-91.48,10487.3,10,2,2018,FALSE,5225.46
2018-10-03,-1423.8,9003.32,10,3,2018,FALSE,3801.66
2018-10-04,-35,7553.32,10,4,2018,FALSE,3766.66
2018-10-05,-22.59,7503.13,10,5,2018,FALSE,3744.07
2018-10-06,-9.8,3734.27,10,6,2018,FALSE,3734.27
2018-10-07,0,7468.54,10,7,2018,FALSE,3734.27
2018-10-08,0,7468.54,10,8,2018,FALSE,3734.27
2018-10-09,-41.93,11107.22,10,9,2018,FALSE,3692.34
2018-10-10,-127.76,14522.35,10,10,2018,FALSE,3564.58
2018-10-11,-89.43,3475.15,10,11,2018,FALSE,3475.15
2018-10-12,-29.98,10373.19,10,12,2018,FALSE,3445.17
2018-10-13,0,6890.34,10,13,2018,FALSE,3445.17
2018-10-14,-21.59,3423.58,10,14,2018,FALSE,3423.58
2018-10-15,0,6847.16,10,15,2018,FALSE,3423.58
2018-10-16,-34.87,3388.71,10,16,2018,FALSE,3388.71
2018-10-17,-68.98,6664.41,10,17,2018,FALSE,3319.73
2018-10-18,-337.72,9285.57,10,18,2018,FALSE,2982.01
2018-10-19,-59.19,11813.18,10,19,2018,FALSE,2922.82
2018-10-20,0,5845.64,10,20,2018,FALSE,2922.82
2018-10-21,0,5845.64,10,21,2018,FALSE,2922.82
2018-10-22,-214.17,28141.92,10,22,2018,FALSE,2708.65
2018-10-23,-297.04,7730.28,10,23,2018,FALSE,2411.61
2018-10-24,-12.34,2399.27,10,24,2018,FALSE,2399.27
2018-10-25,-7.69,2391.58,10,25,2018,FALSE,2391.58
2018-10-26,-12.99,2378.59,10,26,2018,FALSE,2378.59
2018-10-27,0,4757.18,10,27,2018,FALSE,2378.59
2018-10-28,0,4757.18,10,28,2018,FALSE,2378.59
2018-10-29,-92.78,14000.25,10,29,2018,FALSE,2285.81
